image_name,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50
268.png,-567.5,-826.0,-993.25,-1123.875,-1212.0625,-1299.4375,-1385.6875,-1463.6875,-1512.8125,-1568.9375,-1623.1875,-1680.90625,-1733.9375,-1782.65625,-1826.65625,-1872.8125,-1913.75,-1952.5625,-1992.09375,-2031.71875,-2070.125,-2101.171875,-2132.25,-2162.609375,-2190.171875,-2214.140625,-2237.765625,-2259.953125,-2279.328125,-2299.109375,-2317.0625,-2333.296875,-2347.875,-2360.90625,-2373.6796875,-2385.2578125,-2396.484375,-2406.5703125,-2415.9296875,-2424.8125,-2433.4921875,-2441.7109375,-2449.609375,-2457.38671875,-2465.375,-2473.890625,-2482.453125,-2491.9609375,-2506.5546875,-2511.9921875
269.png,-538.0,-881.5,-1073.75,-1180.5,-1295.8125,-1423.5625,-1540.8125,-1658.9375,-1753.75,-1841.4375,-1927.0625,-1995.8125,-2073.8125,-2136.0,-2194.25,-2248.03125,-2296.8125,-2335.21875,-2378.3125,-2414.9375,-2448.46875,-2481.4375,-2510.953125,-2540.953125,-2567.90625,-2592.515625,-2614.484375,-2635.546875,-2656.046875,-2675.5625,-2693.671875,-2710.296875,-2726.984375,-2742.6953125,-2757.5703125,-2770.90625,-2783.0625,-2795.4375,-2807.265625,-2818.1015625,-2828.171875,-2837.9765625,-2847.4453125,-2856.8046875,-2866.0234375,-2875.375,-2884.8984375,-2895.7109375,-2912.7734375,-2918.2421875
270.png,-334.5,-573.25,-840.25,-1069.625,-1284.625,-1524.875,-1647.5625,-1762.0,-1835.125,-1899.5,-1976.375,-2024.3125,-2075.59375,-2124.625,-2167.65625,-2209.78125,-2249.75,-2287.875,-2325.5625,-2361.71875,-2397.9375,-2433.9375,-2471.03125,-2503.875,-2533.734375,-2559.703125,-2590.546875,-2615.796875,-2635.765625,-2657.390625,-2679.9375,-2696.6875,-2712.703125,-2731.5,-2748.15625,-2761.9765625,-2776.484375,-2789.640625,-2802.1171875,-2814.1484375,-2824.65625,-2835.0546875,-2844.8671875,-2854.7421875,-2864.5390625,-2874.328125,-2884.6953125,-2896.3671875,-2913.2734375,-2918.85546875
271.png,-585.0,-844.5,-1113.5,-1252.625,-1351.75,-1433.5,-1515.625,-1572.5625,-1622.65625,-1680.71875,-1733.96875,-1780.15625,-1824.40625,-1868.3125,-1912.5,-1954.59375,-1993.46875,-2033.25,-2074.71875,-2115.59375,-2154.5,-2193.5625,-2229.96875,-2261.40625,-2290.65625,-2318.1875,-2345.265625,-2371.53125,-2396.59375,-2419.6875,-2440.484375,-2459.78125,-2477.265625,-2493.359375,-2508.078125,-2521.7578125,-2535.6640625,-2548.171875,-2560.125,-2571.8203125,-2582.8515625,-2593.7265625,-2603.8828125,-2614.3984375,-2624.71875,-2636.0078125,-2647.1171875,-2659.15625,-2677.0,-2682.484375
272.png,-626.5,-1070.0,-1348.5,-1653.5,-1814.125,-1925.0625,-2041.0625,-2123.5625,-2186.71875,-2236.53125,-2286.5625,-2332.53125,-2379.40625,-2432.40625,-2487.375,-2538.3125,-2584.40625,-2630.15625,-2676.21875,-2715.9375,-2756.6875,-2793.5625,-2826.75,-2859.5,-2891.46875,-2920.65625,-2947.953125,-2971.9375,-2993.5,-3013.140625,-3031.6875,-3049.640625,-3065.0078125,-3080.0703125,-3094.6484375,-3107.2265625,-3119.3828125,-3130.5078125,-3141.6875,-3152.0,-3161.9453125,-3170.703125,-3179.1328125,-3187.00390625,-3196.71484375,-3204.80859375,-3213.09765625,-3222.20703125,-3237.20703125,-3242.50390625
273.png,-451.75,-878.25,-1076.25,-1219.125,-1377.875,-1473.1875,-1559.1875,-1622.84375,-1686.5,-1754.875,-1825.25,-1887.1875,-1942.03125,-1994.0625,-2048.15625,-2097.03125,-2138.8125,-2177.34375,-2214.21875,-2252.5625,-2287.90625,-2319.296875,-2346.859375,-2372.53125,-2395.4375,-2417.59375,-2438.28125,-2457.875,-2476.140625,-2493.1875,-2508.2578125,-2522.265625,-2536.171875,-2548.7734375,-2560.578125,-2571.9453125,-2582.75,-2592.5,-2602.1328125,-2611.234375,-2620.109375,-2628.7578125,-2637.0546875,-2645.125,-2653.421875,-2662.0546875,-2671.484375,-2681.6328125,-2698.5390625,-2704.16796875
274.png,-674.0,-1069.0,-1246.5,-1412.375,-1558.75,-1706.125,-1838.125,-1973.75,-2094.75,-2197.5625,-2300.125,-2394.3125,-2554.9375,-2621.125,-2685.5625,-2738.34375,-2792.40625,-2840.8125,-2885.09375,-2927.5625,-2967.28125,-3005.15625,-3041.0625,-3075.125,-3106.828125,-3138.390625,-3165.015625,-3190.5,-3216.875,-3238.125,-3257.71875,-3275.84375,-3297.609375,-3313.6875,-3330.609375,-3345.1875,-3358.9296875,-3370.390625,-3380.7890625,-3390.6015625,-3399.6328125,-3408.5546875,-3417.0546875,-3425.3359375,-3433.9765625,-3442.7421875,-3451.828125,-3461.890625,-3477.046875,-3482.3671875
275.png,-785.0,-1078.0,-1190.0625,-1296.0625,-1446.1875,-1527.5625,-1592.5,-1673.3125,-1735.15625,-1790.90625,-1859.28125,-1922.65625,-1975.3125,-2024.59375,-2073.875,-2121.9375,-2165.09375,-2205.34375,-2243.09375,-2277.8125,-2311.15625,-2343.46875,-2374.6875,-2402.734375,-2431.015625,-2457.359375,-2483.59375,-2510.328125,-2530.96875,-2553.953125,-2573.671875,-2591.359375,-2609.109375,-2624.9453125,-2639.9375,-2654.609375,-2667.9296875,-2681.2109375,-2693.6328125,-2704.875,-2715.875,-2725.5,-2734.8046875,-2743.4296875,-2752.3828125,-2761.140625,-2770.2265625,-2779.90625,-2794.9140625,-2800.10546875
276.png,-750.5,-1080.25,-1287.375,-1422.125,-1568.75,-1742.875,-1836.1875,-1914.875,-1998.0625,-2079.375,-2176.6875,-2270.625,-2336.25,-2387.9375,-2437.90625,-2481.375,-2526.46875,-2568.8125,-2609.75,-2644.4375,-2682.875,-2719.28125,-2756.65625,-2786.96875,-2817.890625,-2845.265625,-2869.515625,-2893.25,-2915.234375,-2936.84375,-2956.453125,-2975.53125,-2993.71875,-3010.4375,-3026.0703125,-3040.2109375,-3053.546875,-3065.6796875,-3077.9140625,-3088.859375,-3098.9453125,-3108.5390625,-3117.84375,-3127.1875,-3136.5,-3145.671875,-3155.0703125,-3165.875,-3182.484375,-3188.03515625
277.png,-645.0,-875.75,-1027.75,-1219.875,-1322.25,-1404.625,-1475.6875,-1537.6875,-1598.78125,-1654.25,-1716.125,-1778.625,-1839.28125,-1895.53125,-1953.5,-2007.8125,-2058.5625,-2107.40625,-2149.8125,-2193.625,-2233.40625,-2271.25,-2301.703125,-2330.890625,-2357.765625,-2383.140625,-2407.546875,-2431.15625,-2453.328125,-2474.515625,-2494.0,-2510.796875,-2525.984375,-2540.1015625,-2553.6171875,-2565.96875,-2576.9609375,-2587.765625,-2598.71875,-2608.625,-2617.4609375,-2625.640625,-2634.0390625,-2642.0703125,-2650.03515625,-2658.12890625,-2665.98828125,-2675.26171875,-2689.33203125,-2694.078125
